11CM255NHAV|01/10/2554|30/09/2555|NHA|การเคหะแห่งชาติ|NHA01|การเคหะแห่งชาติ ศูนย์คอมฯ ชั้น 3|SCORPIO|01258|AS
11CM354CPUT|16/11/2554|31/12/2555||บริษัท คอมพิวเตอร์ยูเนี่ยน จำกัด|TNCB03|อาคารต้นสนทาวเวอร์ ชั้น 1 ,14|ตู้เมนไฟฟ้า|E8|AS
11CM354CPUT|16/11/2554|31/12/2555||บริษัท คอมพิวเตอร์ยูเนี่ยน จำกัด|TNCB03|อาคารต้นสนทาวเวอร์ ชั้น 1 ,14|RP-1001|PREACTION-01|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|TCU-700|040502574|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|TCU-700|040502589|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|TCU-700|041202601|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|TCU-700|041202604|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|VLF-250-02|B267013|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|VLF-250-02|B267049|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|VLF-250-02|B267054|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|VLF-250-02|B267056|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|SCORPIO|FM200-02|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|SCORPIO|FM200-03|AS
11CM121SMET|08/04/2554|07/04/2555|SMEB|ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|SMEB|ชั้น 4 อาคาร SME Bank TOWER|SCORPIO|FM200-04|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB024|สำนักงานใหญ่ อาคาร 1 ชั้น 1|TCU8000P|00-20-4A-67-ED-50|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB025|สำนักงานใหญ่ อาคาร 1 ชั้น 2|TCU8000P|00-20-4A-67-ED-9B|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB026|สำนักงานใหญ่ อาคาร 2 ชั้น G|TCU8000P|00-20-4A-66-DC-60|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB027|สำนักงานใหญ่ อาคาร 3 ชั้น 1|TCU8000P|00-20-4A-66-DC-B7|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB028|สำนักงานใหญ่ อาคาร 4 ชั้น 1|TCU8000P|00-20-4A-66-DD-52|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB029|สำนักงานใหญ่ อาคาร 4 ชั้น 2|TCU8000P|00-20-4A-66-DC-64|AS
